sketch,notes_path,parameter,canonical_parameter,default,tried,change_score,signal,effect,deterministic,baseline_display,uses_shader,evidence_warning
2014/Generativos/Tildo,out/2014/Generativos/Tildo/notes.md,amp,amp,0.2*width,"[""0.5*width""]",moderate,high,"wave band much taller, peaks near top/bottom edges, denser vertical texture",true,:2,false,
2014/Generativos/Tildo,out/2014/Generativos/Tildo/notes.md,freq,freq,20,[8],subtle,low,"fewer, wider wave cycles (score still only subtle)",true,:2,false,
2014/Generativos/Tildo,out/2014/Generativos/Tildo/notes.md,des speed,des speed,0.5,[0.05],none,low,no visible change at frame 1 (phase 0.5 vs 0.05 barely shifts the wave),true,:2,false,
2014/Generativos/Tildo,out/2014/Generativos/Tildo/notes.md,dot size,dot size,0.05*width,"[""0.1*width""]",none,low,no visible change (dots too small a fraction of the 200x200 canvas to register),true,:2,false,
2014/Generativos/Tildo,out/2014/Generativos/Tildo/notes.md,stroke color,stroke color,#3762E4,"[""#E43762""]",moderate,high,all strokes pink-red instead of blue,true,:2,false,
2014/Generativos/cables,out/2014/Generativos/cables/notes.md,amount,amount,"int(random(2,8))",[1],subtle,low,"1 cable instead of 3-4: single thin multicolour strand from left edge to mid-canvas, rest of canvas empty",true,:2,false,
2014/Generativos/cables,out/2014/Generativos/cables/notes.md,angleDrift,angledrift,"random(-0.2,0.2)",[0.6],subtle,low,higher drift makes cables loop and tangle into a dense spiky mass around the centre instead of smooth long tendrils,true,:2,false,
2014/Generativos/cables,out/2014/Generativos/cables/notes.md,arcSize,arcsize,60,[120],subtle,low,"doubles the strand width: noticeably thicker ribbon with longer, more prominent barbs along the curves",true,:2,false,
2014/Generativos/cables,out/2014/Generativos/cables/notes.md,steps,steps,500,[1000],subtle,low,"cables run twice as long: meander further from the centre, reach the canvas edges and loop back on themselves",true,:2,false,
2014/Generativos/cables,out/2014/Generativos/cables/notes.md,gridSpacing,gridspacing,14,[7],none,low,"no visible change: cross-hatch is too faint (grey 40-50 on grey 30, 1.75px) for halving the spacing to show",true,:2,false,
2014/Generativos/circulos,out/2014/Generativos/circulos/notes.md,circleCount,circlecount,8,[3],moderate,high,"fewer circles per tile: sparser rings, more white showing",true,:2,false,
2014/Generativos/circulos,out/2014/Generativos/circulos/notes.md,circleSize,circlesize,"random(30,160)","[""random(30,60)""]",moderate,high,"smaller circles: no edge-bleeding rings, lighter airier tiles",true,:2,false,
2014/Generativos/circulos,out/2014/Generativos/circulos/notes.md,circleStroke,circlestroke,"random(3,8)","[""random(1,3)""]",moderate,high,"thinner rings: more delicate lines, same layout",true,:2,false,
2014/Generativos/circulos,out/2014/Generativos/circulos/notes.md,dotCount,dotcount,22,[120],moderate,high,denser stipple speckle grain across tiles,true,:2,false,
2014/Generativos/circulos,out/2014/Generativos/circulos/notes.md,circleDist,circledist,"random(30,120)","[""random(0,40)""]",large,high,"centres pulled to tile centre: rings cluster mid-tile, less edge clipping",true,:2,false,
2014/Generativos/circulos2,out/2014/Generativos/circulos2/notes.md,cubeCount,cubecount,40,[12],large,high,"much sparser scene: mostly teal background, only a few large white slabs with sparse circles",true,:2,false,
2014/Generativos/circulos2,out/2014/Generativos/circulos2/notes.md,scale,scale,90,[40],moderate,high,smaller cubes; positions also compress toward the cluster (translate divides by hardcoded 90) so plates read bolder and more crowded on the right,true,:2,false,
2014/Generativos/circulos2,out/2014/Generativos/circulos2/notes.md,nDots,ndots,22,[60],moderate,high,each plate is visibly more covered in fine stipple speckles,true,:2,false,
2014/Generativos/circulos2,out/2014/Generativos/circulos2/notes.md,nCircles,ncircles,8,[3],moderate,high,"fewer, more separated open circles per face; plates look cleaner and less busy",true,:2,false,
2014/Generativos/circulos2,out/2014/Generativos/circulos2/notes.md,ringStrokeWeight,ringstrokeweight,3-8,"[""3-16""]",subtle,low,no visible change; circle strokes look the same weight as baseline,true,:2,false,
2014/Generativos/circulosFormas,out/2014/Generativos/circulosFormas/notes.md,cantplanos,cantplanos,8,[2],none,low,no visible change at frame 1: only layer 0 has been drawn by then; later (larger) layers appear only from frame 10,false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/circulosFormas,out/2014/Generativos/circulosFormas/notes.md,"sides range (int c = int(random(3, 8)))",sides range,3..8,"[""5..9""]",none,low,no visible change at canvas level; among the few tiny frame-1 shapes one triangle became a pentagon,false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/circulosFormas,out/2014/Generativos/circulosFormas/notes.md,"star inner ratio (float hun = random(0.5, 1))",star inner ratio,0.5..1,"[""0.2..0.4""]",none,low,"no visible change at canvas level; run crashed with NullPointerException in forma() (thread race), only frame 1 saved",false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/circulosFormas,out/2014/Generativos/circulosFormas/notes.md,"halo alpha (stroke(0, 4))",halo alpha,4,[100],none,low,no visible change at canvas level; slightly darker halo around the few tiny frame-1 shapes,false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/circulosFormas,out/2014/Generativos/circulosFormas/notes.md,"inner attempt count (map(j,0,8,1000,300))",inner attempt count,1000..300,"[""4000..300""]",none,low,frame 1 pixel-identical to baseline (md5 equal); density effect only shows from frame 10,false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/circulosFormas,out/2014/Generativos/circulosFormas/notes.md,"outer shape size (map(j,0,8,10,160))",outer shape size,10..160,"[""10..400""]",none,low,"no visible change: layer 0 keeps t=10, the enlarged sizes are in later layers not yet drawn at frame 1",false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/circulosdentrocirculos,out/2014/Generativos/circulosdentrocirculos/notes.md,step,step,random(10)+1 times 10 (10-100 px),[20],large,high,"larger shrink step = fewer, bolder rings with more black ground between them",true,:2,false,
2014/Generativos/circulosdentrocirculos,out/2014/Generativos/circulosdentrocirculos/notes.md,motifTypes,motiftypes,random(5)+1 (types 1-5),"[""random(2)+1 (types 1-2)""]",large,high,"restricting to types 1-2 removes wedges, polygons and dot rosettes, leaving only outline/tick rings and dotted rings",true,:2,false,
2014/Generativos/circulosdentrocirculos,out/2014/Generativos/circulosdentrocirculos/notes.md,maxDiameterScale,maxdiameterscale,1.0,[0.55],large,high,smaller starting diameter = whole mandala shrinks to an inscribed circle with black corner margins,true,:2,false,
2014/Generativos/circulosdentrocirculos,out/2014/Generativos/circulosdentrocirculos/notes.md,c1TickCount,c1tickcount,"random(3,72)","[""random(3,20)""]",none,low,no visible change (thin tick lines are nearly invisible at this scale),true,:2,false,
2014/Generativos/circulosdentrocirculos,out/2014/Generativos/circulosdentrocirculos/notes.md,c4WedgeCount,c4wedgecount,"random(4,73)","[""random(4,20)""]",large,high,"fewer wedges per ring = many more, smaller alternating black/white wedges; outer band becomes a high-contrast zigzag and the white areas grow dominant",true,:2,false,
2014/Generativos/circulosdentrocirculos2,out/2014/Generativos/circulosdentrocirculos2/notes.md,motif_count,motif count,100,[30],large,high,"sparser; dense full-bleed mandala collapses to a compact centred medallion, only thin ring/tick webs reach the corners",true,:2,false,
2014/Generativos/circulosdentrocirculos2,out/2014/Generativos/circulosdentrocirculos2/notes.md,max_diameter,max diameter,"dist(0,0,width,height) ~ 848",[300],large,high,"mandala shrinks to the centre (max radius ~150), wide pale-mint margin, no longer full-bleed",true,:2,false,
2014/Generativos/circulosdentrocirculos2,out/2014/Generativos/circulosdentrocirculos2/notes.md,motif_index,motif index,random(5)+1,[2],large,high,"only circulo2 drawn: full-bleed bands of thick rings studded with dots, no ticks/polygons/zigzag",true,:2,false,
2014/Generativos/circulosdentrocirculos2,out/2014/Generativos/circulosdentrocirculos2/notes.md,circulo1_tick_count,circulo1 tick count,"random(3,72)","[""random(3,20)""]",none,low,no visible change,true,:2,false,
2014/Generativos/circulosdentrocirculos2,out/2014/Generativos/circulosdentrocirculos2/notes.md,ring_weight,ring weight,(random(10)+1)*10,"[""(random(10)+1)*30""]",large,high,"much bolder: heavy navy tick fan, wide bands, large cream dots",true,:2,false,
2014/Generativos/cosasfeas,out/2014/Generativos/cosasfeas/notes.md,figure_count,figure count,20,[5],large,high,far sparser: 5 rosettes with big empty grey areas,true,:2,false,
2014/Generativos/cosasfeas,out/2014/Generativos/cosasfeas/notes.md,passes,passes,1-49 (cc),[4],large,high,thick parallel ribbons collapse to single thin lines; dots become visible,true,:2,false,
2014/Generativos/cosasfeas,out/2014/Generativos/cosasfeas/notes.md,radius_range,radius range,width*0.15-0.8,"[""width*0.05-0.3""]",large,high,"small gear-like figures, much more empty background",true,:2,false,
2014/Generativos/cosasfeas,out/2014/Generativos/cosasfeas/notes.md,stroke_weight,stroke weight,0-10,[2],moderate,high,thin delicate web of lines instead of bold thick strokes,true,:2,false,
2014/Generativos/cosasfeas,out/2014/Generativos/cosasfeas/notes.md,vertex_count,vertex count,3-19 (cant),[8],large,high,spiky stars become regular round heptagon/octagon/nonagon rosettes,true,:2,false,
2014/Generativos/cosasfeas,out/2014/Generativos/cosasfeas/notes.md,background,background,180,[0],large,high,same figures on near-black ground; grain no longer visible,true,:2,false,
2014/Generativos/crucesitas,out/2014/Generativos/crucesitas/notes.md,crossCount,crosscount,150,[300],moderate,high,"denser field of stitch rows, overlapping into a plaid lattice",true,:2,false,
2014/Generativos/crucesitas,out/2014/Generativos/crucesitas/notes.md,crossScale,crossscale,"random(3,10)","[""random(3,30)""]",large,high,"much larger, heavier X stitches; marks dominate the canvas",true,:2,false,
2014/Generativos/crucesitas,out/2014/Generativos/crucesitas/notes.md,chainLen,chainlen,"int(random(1,15))","[""int(random(1,30))""]",subtle,low,"some rows run longer, overall soft look barely changes",true,:2,false,
2014/Generativos/crucesitas,out/2014/Generativos/crucesitas/notes.md,circleScale,circlescale,"random(3,120)","[""random(3,300)""]",moderate,high,ghost circles become large overlapping pale rings across the canvas,true,:2,false,
2014/Generativos/crucesitas,out/2014/Generativos/crucesitas/notes.md,circleAlpha,circlealpha,12,[80],none,low,no visible change; circles stay nearly invisible,true,:2,false,
2014/Generativos/crucesitas,out/2014/Generativos/crucesitas/notes.md,hatchCount,hatchcount,20,[80],subtle,low,a few more diagonal dash clusters; overall texture similar,true,:2,false,
2014/Generativos/cuadraditos,out/2014/Generativos/cuadraditos/notes.md,skipP,skipp,30,[70],subtle,low,"70% skip: noticeably sparser dots, thinner ragged blocks; grid structure preserved",true,:2,false,
2014/Generativos/cuadraditos,out/2014/Generativos/cuadraditos/notes.md,cw,cw,8,[12],subtle,low,"wider blocks (12 cells) fill the 80px pitch, gaps between blocks shrink slightly",true,:2,false,
2014/Generativos/cuadraditos,out/2014/Generativos/cuadraditos/notes.md,ch,ch,2,[4],moderate,high,"taller blocks (4 rows) merge into dense texture, canvas much more filled",true,:2,false,
2014/Generativos/cuadraditos,out/2014/Generativos/cuadraditos/notes.md,t,t,5,[9],large,high,"9px squares: much chunkier, coarser dot clusters, clearly larger marks",true,:2,false,
2014/Generativos/cuadraditos,out/2014/Generativos/cuadraditos/notes.md,esp,esp,4,[1],moderate,high,"near-zero gap: dots run into solid bars, texture becomes dense and continuous",true,:2,false,
2014/Generativos/cuadraditos,out/2014/Generativos/cuadraditos/notes.md,alpha,alpha,180,[60],subtle,low,"lower fill alpha: dots fade toward the dark background, lower contrast",true,:2,false,
2014/Generativos/curdiculasdecuadrados,out/2014/Generativos/curdiculasdecuadrados/notes.md,depth,depth,5,[7],large,high,deeper quadtree -> many more small cells; canvas fills into a dense diagonal-hatched black field with sparse white blocks,true,:2,false,
2014/Generativos/curdiculasdecuadrados,out/2014/Generativos/curdiculasdecuadrados/notes.md,max_esp,max esp,60,[40],moderate,high,smaller max spacing -> denser/finer hatch lines in the open white regions; layout unchanged,true,:2,false,
2014/Generativos/curdiculasdecuadrados,out/2014/Generativos/curdiculasdecuadrados/notes.md,min_esp,min esp,20,[8],moderate,high,smaller min spacing -> slightly denser lines in the tightest cells; layout unchanged,true,:2,false,
2014/Generativos/curdiculasdecuadrados,out/2014/Generativos/curdiculasdecuadrados/notes.md,vel,vel,0.4,[0.08],none,low,only sets how fast line spacing drifts across frames; no visible change in a single frame,true,:2,false,
2014/Generativos/curdiculasdecuadrados,out/2014/Generativos/curdiculasdecuadrados/notes.md,fillBias,fillbias,5,[8],subtle,low,"raises share of white-fill cells; a few cells flip between white and black fill, layout unchanged",true,:2,false,
2014/Generativos/curdiculasdecuadrados,out/2014/Generativos/curdiculasdecuadrados/notes.md,phaseStep,phasestep,0.01,[0.05],subtle,low,"faster phase creep; at frame 1 the hatch is shifted slightly further, layout and density unchanged",true,:2,false,
2014/Generativos/degradefeo,out/2014/Generativos/degradefeo/notes.md,cosoCount,cosocount,5,[15],none,low,no visible change in frame 1; extra columns all start at x=0 and overlap in the same narrow strip,true,:2,false,
2014/Generativos/degradefeo,out/2014/Generativos/degradefeo/notes.md,stepsPerFrame,stepsperframe,500,[50],none,low,subtle: frame-1 band is only a ~50 px stub at the top-left instead of full height; rest of canvas identical,true,:2,false,
2014/Generativos/degradefeo,out/2014/Generativos/degradefeo/notes.md,rectSize,rectsize,4,[8],none,low,"subtle: left band made of chunkier 8 px blocks, slightly wider",true,:2,false,
2014/Generativos/degradefeo,out/2014/Generativos/degradefeo/notes.md,xShiftMax,xshiftmax,4,[24],none,low,"no visible change; frame 1 is pixel-identical (larger shift only applies from the second wrap, i.e. frame 2)",true,:2,false,
2014/Generativos/degradefeo,out/2014/Generativos/degradefeo/notes.md,valDivisor,valdivisor,256,[512],none,low,"subtle: band biased toward the green ramp, more pale sage, less saturated red",true,:2,false,
2014/Generativos/edificios,out/2014/Generativos/edificios/notes.md,w (building width range),w,"random(100, 300)","[""random(400, 500)""]",subtle,low,"larger building, wider footprint in top-right corner",true,:2,false,
2014/Generativos/edificios,out/2014/Generativos/edificios/notes.md,density (area/cant divisor),density,10,[5],none,low,no visible change; mosaic already saturated,true,:2,false,
2014/Generativos/edificios,out/2014/Generativos/edificios/notes.md,fill alpha,fill alpha,80,[200],none,low,no visible change; heavy overlap already makes centre near-opaque,true,:2,false,
2014/Generativos/edificios,out/2014/Generativos/edificios/notes.md,stroke alpha,stroke alpha,120,[255],none,low,no visible change,true,:2,false,
2014/Generativos/edificios,out/2014/Generativos/edificios/notes.md,block width range,block width range,"random(10, 40)","[""random(30, 80)""]",none,low,no visible change at this scale,true,:2,false,
2014/Generativos/esferitas,out/2014/Generativos/esferitas/notes.md,count,count,500,[150],moderate,high,"fewer spheres; central cluster sparser, much more background visible",true,:2,false,
2014/Generativos/esferitas,out/2014/Generativos/esferitas/notes.md,sizeBias,sizebias,"random(20,100)*random(1)*random(1)","[""random(20,100)""]",large,high,removing the size bias makes spheres much larger on average; cluster becomes a near full-bleed mass of big overlapping circles,true,:2,false,
2014/Generativos/esferitas,out/2014/Generativos/esferitas/notes.md,des,des,"random(2,8)",[2],subtle,low,diagonal wash becomes a visible fine 2-px texture across the background,true,:2,false,
2014/Generativos/esferitas,out/2014/Generativos/esferitas/notes.md,lineAlpha,linealpha,16,[80],subtle,low,diagonal lines become clearly visible white hatching over the whole canvas,true,:2,false,
2014/Generativos/esferitas,out/2014/Generativos/esferitas/notes.md,crossCount,crosscount,"random(-4,6)","[""random(0,12)""]",none,low,no visible change at whole-image level; only small extra x-ticks (tiny pixel area),true,:2,false,
2014/Generativos/esferitas,out/2014/Generativos/esferitas/notes.md,crossScale,crossscale,t*0.10,"[""t*0.30""]",subtle,low,"x-ticks ~3x larger and bolder, trails longer and more prominent",true,:2,false,
2014/Generativos/floresTriangulos,out/2014/Generativos/floresTriangulos/notes.md,t,t,20,[40],none,low,"no visible change — dot grid is low-alpha (fill 250,20); doubling the cell size barely moves pixels",true,:2,false,
2014/Generativos/floresTriangulos,out/2014/Generativos/floresTriangulos/notes.md,da,da,TWO_PI/3,"[""TWO_PI/4""]",subtle,low,central triangle rosette switches from 3-fold to 4-fold symmetry; only the faint inner outlines shift,true,:2,false,
2014/Generativos/floresTriangulos,out/2014/Generativos/floresTriangulos/notes.md,triangleCount,trianglecount,200,[400],subtle,low,"more concentric triangle rings, rosette extends slightly further out; still faint",true,:2,false,
2014/Generativos/floresTriangulos,out/2014/Generativos/floresTriangulos/notes.md,dis,dis,200,[350],moderate,high,white circle flower grows to span the full canvas; large rim circles reach the frame edges,true,:2,false,
2014/Generativos/floresTriangulos,out/2014/Generativos/floresTriangulos/notes.md,circleCount,circlecount,300,[150],subtle,low,flower becomes sparser with more gaps between circles; overall ring shape unchanged,true,:2,false,
2014/Generativos/gradienteees,out/2014/Generativos/gradienteees/notes.md,count,count,80,[200],large,high,"more shapes; busier, more densely overlapping field, more small shapes visible",true,:2,false,
2014/Generativos/gradienteees,out/2014/Generativos/gradienteees/notes.md,shapeSize,shapesize,"random(20,300)","[""random(20,100)""]",large,high,"smaller max size; fine mosaic of small-to-mid shapes, no large dominant discs",true,:2,false,
2014/Generativos/gradienteees,out/2014/Generativos/gradienteees/notes.md,squareProb,squareprob,0.5,[0.85],large,high,hatched squares/wedges dominate; far fewer smooth gradient discs,true,:2,false,
2014/Generativos/gradienteees,out/2014/Generativos/gradienteees/notes.md,seam,seam,0.01,[0.05],none,low,"no visible change (the seam is a thin line, mostly occluded by overlap)",true,:2,false,
2014/Generativos/gradienteees,out/2014/Generativos/gradienteees/notes.md,palette[1],palette 1,#028F76,"[""#1C5DAA""]",subtle,low,teal discs read as blue where teal is a gradient endpoint; rest of palette unchanged,true,:2,false,
2014/Generativos/lovetrigonometri,out/2014/Generativos/lovetrigonometri/notes.md,cc,cc,1200,[3000],moderate,high,"more steps around the ring: dots sampled 2.5x denser, ribbons more solid, knot denser",true,:2,false,
2014/Generativos/lovetrigonometri,out/2014/Generativos/lovetrigonometri/notes.md,amplitud,amplitud,"random(0.2, 0.4)","[""random(0.4, 0.55)""]",large,high,"larger ring radius: loop spreads to fill the canvas, bead trails radiate farther",true,:2,false,
2014/Generativos/lovetrigonometri,out/2014/Generativos/lovetrigonometri/notes.md,cant,cant,"random(3, 300)","[""random(3, 40)""]",moderate,high,"particle count cap (seed 42: 87 -> 13): tangle much sparser, few thin ribbons",true,:2,false,
2014/Generativos/lovetrigonometri,out/2014/Generativos/lovetrigonometri/notes.md,strokeAlpha,strokealpha,30,[90],subtle,low,"more opaque solid lines; same paths, less see-through overlap",true,:2,false,
2014/Generativos/lovetrigonometri,out/2014/Generativos/lovetrigonometri/notes.md,cv,cv,"random(1, 10)","[""random(6, 10)""]",moderate,high,"higher ring modulation frequency (3.6 -> 7.1): wavier lobed ring, similar density",true,:2,false,
2014/Generativos/mapaRecorrible,out/2014/Generativos/mapaRecorrible/notes.md,ns1,ns1,0.003,[0.01],large,high,higher noise scale breaks the single landmass into many scattered brown islands over small blue rings,true,:2,false,
2014/Generativos/mapaRecorrible,out/2014/Generativos/mapaRecorrible/notes.md,tam,tam,10,[20],large,high,"cell size doubles: rings become visibly bigger with larger pale holes, same landmass layout",true,:2,false,
2014/Generativos/mapaRecorrible,out/2014/Generativos/mapaRecorrible/notes.md,waterLevel,waterlevel,0.3,[0.2],none,low,"no visible change; seed-42 remapped noise never falls in (0.2, 0.3], so the land/water split is unchanged",true,:2,false,
2014/Generativos/mapaRecorrible,out/2014/Generativos/mapaRecorrible/notes.md,background,background,252,[210],moderate,high,field turns greyish-white; inner holes stay fill(252) so ring centres read slightly lighter than the background,true,:2,false,
2014/Generativos/mapaRecorrible,out/2014/Generativos/mapaRecorrible/notes.md,landColor,landcolor,"80, 40, 4","[""60, 140, 60""]",moderate,high,"land donuts turn medium green, blue water and layout unchanged",true,:2,false,
2014/Generativos/mensajeAutopistas,out/2014/Generativos/mensajeAutopistas/notes.md,count,count,2000,"[500,5000]",large,high,"500: sparser, individual tracks and dark background clearly visible; 5000: denser, more chaotic, heavier overlap",true,:2,false,
2014/Generativos/mensajeAutopistas,out/2014/Generativos/mensajeAutopistas/notes.md,strokeWeight,strokeweight,2,[4],moderate,high,"thicker double-line tracks, bolder/heavier look",true,:2,false,
2014/Generativos/mensajeAutopistas,out/2014/Generativos/mensajeAutopistas/notes.md,markerW,markerw,80,[40],subtle,low,smaller marker rects at track heads; overall image nearly unchanged,true,:2,false,
2014/Generativos/mensajeAutopistas,out/2014/Generativos/mensajeAutopistas/notes.md,diagStep,diagstep,"random(50,100)","[""random(10,30)""]",large,high,"shorter diagonal steps, more angular/jagged segments, PCB-like look",true,:2,false,
2014/Generativos/minimalCirculines,out/2014/Generativos/minimalCirculines/notes.md,circleCount,circlecount,3,[8],subtle,low,"adds 5 more circles of the same random style; original three unchanged, new ones thin so little extra ink",true,:2,false,
2014/Generativos/minimalCirculines,out/2014/Generativos/minimalCirculines/notes.md,ddMin,ddmin,20,[200],moderate,high,all circles larger (diameter >= 200); the small circle becomes a large dashed ring,true,:2,false,
2014/Generativos/minimalCirculines,out/2014/Generativos/minimalCirculines/notes.md,cantMax,cantmax,20,[40],subtle,low,"more segments = finer dashes; bottom ring nearly continuous, small circle unchanged",true,:2,false,
2014/Generativos/minimalCirculines,out/2014/Generativos/minimalCirculines/notes.md,sepMax,sepmax,0.6,[0.9],subtle,low,"arcs fill more of their slot; gaps shrink, rings look near-closed",true,:2,false,
2014/Generativos/minimalCirculines,out/2014/Generativos/minimalCirculines/notes.md,weightFactor,weightfactor,0.2,[0.5],large,high,"strokes 2.5x thicker; big rings become heavy near-solid bands, small circle stays thin",true,:2,false,
2014/Generativos/minimalCirculines,out/2014/Generativos/minimalCirculines/notes.md,grain,grain,5,[20],none,low,no visible change per score; background grain slightly coarser but below the per-pixel change threshold,true,:2,false,
